Centre Name,Operating Hours,CHP Operating Hours,AAC Operating Hours,Address,Postal Code,Latitude,Longitude,Division 2025,Category,longitude,latitude
Tzu Chi SEEN@Nanyang,"AAC Operating Hours:
Mon - Fri: 8.30am - 5.30pm | Sat: 8.30am - 12.30pm | Closed on Sun & Public Holiday

CHP Operating Hours:
Every Wednesday,  2:00pm - 5:00pm","
Every Wednesday,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 5.30pm | Sat: 8.30am - 12.30pm | Closed on Sun & Public Holiday

","712B Jurong West Street 71, #01-203, 642712",642712,1.342894179,103.6968926,Nanyang,AAC & CHP,103.6968926,1.342894179
Jurong Medical Centre,"Every Tuesday, 9:00am - 12:00pm","Every Tuesday, 9:00am - 12:00pm",,"60 Jurong West Central 3, Jurong Medical Centre Level 2, 648346",648346,1.340518768,103.7045497,Pioneer,CHP,103.7045497,1.340518768
Stroke Support Station Ltd @ Jurong Point,"Mon - Fri: 9.00am - 5.30pm | Closed on Sat, Sun & Public Holiday",,"Mon - Fri: 9.00am - 5.30pm | Closed on Sat, Sun & Public Holiday","1 Jurong West Central 2, #06-01, 648886",648886,1.339452004,103.706685,Pioneer,AAC,103.706685,1.339452004
Gek Poh Ville Community Club,"Every 2nd and 4th Thursday of the month ,  2:00pm - 5:00pm","Every 2nd and 4th Thursday of the month ,  2:00pm - 5:00pm",,"Gek Poh CC 1 Jurong West Street 74, 649149",649149,1.348689824,103.6987263,Jurong Spring-Gek Poh,CHP,103.6987263,1.348689824
Jurong Spring Community Club,"Every Tuesday,  2:00pm - 5:00pm","Every Tuesday,  2:00pm - 5:00pm",,"8 Jurong West Street 52, Level 2, 649296",649296,1.348330172,103.7181557,Jurong Spring-Gek Poh,CHP,103.7181557,1.348330172
Kaki Kampong Seniors Wellness Centre,"Every 2nd Wednesday of the month,  2:00pm - 5:00pm","Every 2nd Wednesday of the month,  2:00pm - 5:00pm",,"500 Corporation Road, #03-01, 649808",649808,1.345422006,103.7165185,Jurong Spring-Gek Poh,CHP,103.7165185,1.345422006
Fei Yue Active Ageing Centre (Bukit Batok),"AAC Operating Hours:
Mon - Fri: 9.30am - 6.00pm

CHP Operating Hours:
Every Tuesday,  2:00pm - 4:30pm","
Every Tuesday,  2:00pm - 4:30pm","
Mon - Fri: 9.30am - 6.00pm

","183 Bukit Batok West Avenue 8, #01-101, 650183",650183,1.346326381,103.7433778,Bukit Batok,AAC & CHP,103.7433778,1.346326381
MINDS Satellite Hub (Bukit Batok),"Every 3rd Friday of the month,  2:00pm - 5:00pm","Every 3rd Friday of the month,  2:00pm - 5:00pm",,"212 Bukit Batok Street 21, #01-225, 650212",650212,1.347192811,103.7522173,Bukit Batok,CHP,103.7522173,1.347192811
THK AAC @ Bukit Batok,"AAC Operating Hours:
Mon - Fri: 8.30am - 5.30pm | Sat: 8.30am - 12.30pm

CHP Operating Hours:
Every 2nd and 4th Monday of the month,  2:00pm - 5:00pm","
Every 2nd and 4th Monday of the month,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 5.30pm | Sat: 8.30am - 12.30pm

","235 Bukit Batok East Avenue 5, Gombak Gardens, #01-21, 650235",650235,1.348483521,103.7563004,Bukit Batok East,AAC & CHP,103.7563004,1.348483521
Anglican Care Centre (Bukit Batok) ,"Every 2nd and 4th Monday of the month,  9:00am - 12:00pm","Every 2nd and 4th Monday of the month,  9:00am - 12:00pm",,"267 Bukit Batok East Avenue 4, #01-206, 650267",650267,1.348809566,103.7598926,Bukit Batok East,CHP,103.7598926,1.348809566
FRCS Active Ageing Centre,"Mon - Fri: 8.30am - 5.30pm | Closed on Sat, Sun",,"Mon - Fri: 8.30am - 5.30pm | Closed on Sat, Sun","386 Bukit Batok West Avenue 5, #01-348, 650386",650386,1.363939422,103.752556,Bukit Gombak,AAC,103.752556,1.363939422
REACH Senior Centre @ Bukit Batok (BB),"AAC Operating Hours:
Mon - Wed & Fri: 9.00am - 5.30pm | Thu: 1.30pm - 5.30pm

CHP Operating Hours:
Every 1st and 3rd Tuesday of the month,  9:00am - 12:00pm","
Every 1st and 3rd Tuesday of the month,  9:00am - 12:00pm","
Mon - Wed & Fri: 9.00am - 5.30pm | Thu: 1.30pm - 5.30pm

","417 Bukit Batok West Avenue 4, #01-284, 650417",650417,1.362890991,103.7465392,Hong Kah North,AAC & CHP,103.7465392,1.362890991
NTUC Health Active Ageing Centre (Care) (Bukit Batok West),"AAC Operating Hours:
Mon - Fri: 9.00am - 6.00pm | Sat: For events only | Closed on Sun & Public Holiday

CHP Operating Hours:
Every Wednesday,  9:00am - 12:00pm","
Every Wednesday,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm | Sat: For events only | Closed on Sun & Public Holiday

","439 Bukit Batok West Avenue 8, #02-01, 650439",650439,1.357357581,103.739983,Hong Kah North,AAC & CHP,103.739983,1.357357581
Fei Yue Active Ageing Centre (Bukit Batok extension),"AAC Operating Hours:
Mon - Fri: 9.30am - 6.00pm

CHP Operating Hours:
Every Tuesday,  10:00am - 11:30am","
Every Tuesday,  10:00am - 11:30am","
Mon - Fri: 9.30am - 6.00pm

","210A Bukit Batok Street 21, #01-294, 651210",651210,1.345428475,103.7508358,Bukit Batok East,AAC & CHP,103.7508358,1.345428475
Tzu Chi SEEN @ Bukit Batok,"AAC Operating Hours:
Mon - Fri: 8.30am - 5.30pm | Sat: 8.30am - 12.30pm | (Closed on Sunday and Public Holidays)

CHP Operating Hours:
Every Monday,  2:00pm - 5:00pm","
Every Monday,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 5.30pm | Sat: 8.30am - 12.30pm | (Closed on Sunday and Public Holidays)

","230A Bukit Batok Street 21, #02-423, 651230",651230,1.34755154,103.7557831,Bukit Batok,AAC & CHP,103.7557831,1.34755154
REACH Senior Centre @ Bukit Gombak Vista (BGV),"AAC Operating Hours:
Mon - Wed & Fri: 9.00am - 5.30pm | Thu: 1.30pm - 5.30pm

CHP Operating Hours:
Every Thursday,  2:00pm - 5:00pm","
Every Thursday,  2:00pm - 5:00pm","
Mon - Wed & Fri: 9.00am - 5.30pm | Thu: 1.30pm - 5.30pm

","377A Bukit Batok Street 31, #01-24, 651377",651377,1.359219483,103.7498675,Bukit Gombak,AAC & CHP,103.7498675,1.359219483
New Hope CS - JSS-OR (BBW),"Every 1st and 3rd Tuesday of the month,  2:00pm - 4:30pm","Every 1st and 3rd Tuesday of the month,  2:00pm - 4:30pm",,"465A Bukit Batok West Avenue 8, 651465",651465,1.357308757,103.742673,Hong Kah North,CHP,103.742673,1.357308757
"""Good Old Place"" Activity Centre by Vanguard Healthcare Harmony Village @ Bukit Batok","Every 2nd and 4th Tuesday of the month ,  2:00pm - 4:30pm","Every 2nd and 4th Tuesday of the month ,  2:00pm - 4:30pm",,"469A  Bukit Batok West Avenue 9, #03-401, 651469",651469,1.355445832,103.7420785,Hong Kah North,CHP,103.7420785,1.355445832
Active Ageing Centre @ Bukit Batok East,"AAC Operating Hours:
Mon - Fri: 9.30am - 12.30pm, 2.00pm - 5.30pm

CHP Operating Hours:
Every Monday,  9:30am - 12:00pm ","
Every Monday,  9:30am - 12:00pm ","
Mon - Fri: 9.30am - 12.30pm, 2.00pm - 5.30pm

","288D Bukit Batok Street 25, #01-40, 653288",653288,1.345803048,103.7592601,Bukit Batok East,AAC & CHP,103.7592601,1.345803048
Bukit Batok East Community Health Resource Centre @ Nature View,"Every 1st and 3rd Monday of the month,  9:00am - 12:00pm","Every 1st and 3rd Monday of the month,  9:00am - 12:00pm",,"289F Bukit Batok Street 25, #01-134, 655289",655289,1.34463617,103.7590468,Bukit Batok East,CHP,103.7590468,1.34463617
Ren Ci AAC (Care) @ Bukit Batok St. 52,"AAC Operating Hours:
Mon - Fri: 9.00am - 5.30pm | Closed on Sat, Sun & Public Holiday | (Half day on eve of PH)

CHP Operating Hours:
Every Friday,  9:00am - 12:00pm","
Every Friday,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 5.30pm | Closed on Sat, Sun & Public Holiday | (Half day on eve of PH)

","31 Bukit Batok Street 52, 659251",659251,1.354991193,103.7515598,Bukit Gombak,AAC & CHP,103.7515598,1.354991193
Adventist Nursing and Rehabilitation Centre @128 Pending,"AAC Operating Hours:
Mon - Fri: 9.00am - 5:30pm | Closed on Sat, Sun & Public Holiday

CHP Operating Hours:
Every 2nd and 4th Tuesday of the month,  9:00am - 12:00pm","
Every 2nd and 4th Tuesday of the month,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 5:30pm | Closed on Sat, Sun & Public Holiday

","128 Pending Road, #01-328, 670128",670128,1.375995112,103.7697662,Bukit Panjang,AAC & CHP,103.7697662,1.375995112
Cashew Zone 1 RC Centre,"Every 2nd and 4th Thursday of the month,  9:00am - 12:00pm","Every 2nd and 4th Thursday of the month,  9:00am - 12:00pm",,"140 Petir Road, #01-320, 670140",670140,1.375502991,103.7689524,Cashew,CHP,103.7689524,1.375502991
Adventist Nursing & Rehabilitation Centre @ 225 Pending,"Every 1st and 3rd Tuesday of the month,  9:00am - 12:00pm","Every 1st and 3rd Tuesday of the month,  9:00am - 12:00pm",,"225 Pending Road, #01-165, 670225",670225,1.375540494,103.7725452,Bukit Panjang,CHP,103.7725452,1.375540494
Fei Yue Active Ageing Centre (Fajar),"AAC Operating Hours:
Mon - Fri: 9.30am - 6.00pm

CHP Operating Hours:
Every 1st and 3rd Monday of the month,  2:00pm - 5:00pm","
Every 1st and 3rd Monday of the month,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","406 Fajar Road, #01-295, 670406",670406,1.381850258,103.7675731,Bukit Panjang,AAC & CHP,103.7675731,1.381850258
Precious Active Ageing Centre (Fajar Spring),"AAC Operating Hours:
Mon - Fri: 8.30am - 6.00pm

CHP Operating Hours:
Every Thursday,  2:00pm - 5:00pm","
Every Thursday,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 6.00pm

","454 Fajar Road, #01-582, 670454",670454,1.384502431,103.7715374,Bukit Panjang,AAC & CHP,103.7715374,1.384502431
New Life Community Services Active Ageing Centre (Care) @Jelapang,"AAC Operating Hours:
Mon - Fri: 9.00am - 5.00pm

CHP Operating Hours:
Every 2nd and 4th Monday of the month,  2:00pm - 5:00pm","
Every 2nd and 4th Monday of the month,  2:00pm - 5:00pm","
Mon - Fri: 9.00am - 5.00pm

","525 Jelapang Road, #01-123, 670525",670525,1.386592759,103.7654066,Zhenghua,AAC & CHP,103.7654066,1.386592759
Cashew Zone 3 Residents' Committee,"Every Wednesday,  2:00pm - 5:00pm","Every Wednesday,  2:00pm - 5:00pm",,"607 Senja Road, #01-02, 670607",670607,1.382519651,103.7615163,Cashew,CHP,103.7615163,1.382519651
Fei Yue Active Ageing Centre (Senja),"AAC Operating Hours:
Mon - Fri: 9.30am - 6.00pm

CHP Operating Hours:
Every Tuesday,  2:00pm - 5:00pm","
Every Tuesday,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","634B Senja Road, #02-227, 672634",672634,1.386119886,103.7583286,Zhenghua,AAC & CHP,103.7583286,1.386119886
Vanguard Active Ageing Centre (Care) @ Senja,"AAC Operating Hours:
Mon - Fri: 8.30am - 6.00pm

CHP Operating Hours:
Every 2nd and 4th Wednesday of the month,  9:00am - 12:00pm","
Every 2nd and 4th Wednesday of the month,  9:00am - 12:00pm","
Mon - Fri: 8.30am - 6.00pm

","50 Woodlands Road, Senja Care Home, #03-01, 677726",677726,1.382712541,103.7601664,Cashew,AAC & CHP,103.7601664,1.382712541
NTUC Health Active Ageing Centre (Bukit Panjang),"AAC Operating Hours:
Mon - Fri: 9.00am - 6.00pm | Sat: Events only | Closed on Sunday & PH

CHP Operating Hours:
Every 1st and 3rd Wednesday of the month,  9:00am - 12:00pm","
Every 1st and 3rd Wednesday of the month,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm | Sat: Events only | Closed on Sunday & PH

","2 Bukit Panjang Ring Road, #02-06, 679947",679947,1.377600591,103.7724897,Bukit Panjang,AAC & CHP,103.7724897,1.377600591
Fei Yue Active Ageing Centre (Teck Whye),"AAC Operating Hours:
Mon - Fri: 9.30am - 6.00pm

CHP Operating Hours:
Every 1st and 4th Tuesday of the month,  2:00pm - 5:00pm","
Every 1st and 4th Tuesday of the month,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","9 Teck Whye Lane, #01-268, 680009",680009,1.380035012,103.7541455,Chua Chu Kang,AAC & CHP,103.7541455,1.380035012
REACH-SLEC Active Ageing Centre (Care) @ Teck Whye Vista,"AAC Operating Hours:
Mon - Wed & Fri: 9.00am - 5.30pm | Thu: 1.30pm - 5.30pm

CHP Operating Hours:
Every 1st and 3rd Friday of the month,  9:00am - 12:00pm","
Every 1st and 3rd Friday of the month,  9:00am - 12:00pm","
Mon - Wed & Fri: 9.00am - 5.30pm | Thu: 1.30pm - 5.30pm

","153 Jalan Teck Whye, #03-151, 680153",680153,1.379151239,103.7585549,Chua Chu Kang,AAC & CHP,103.7585549,1.379151239
Fei Yue Active Ageing Centre (Chua Chu Kang),,,,"206 Choa Chu Kang Central, 680206",680206,1.380667067,103.7483399,Chua Chu Kang,AAC,103.7483399,1.380667067
Fei Yue Active Ageing Centre (Limbang),"AAC Operating Hours:
Mon - Fri: 9.30am - 6.00pm

CHP Operating Hours:
Every 2nd and 4th Monday of the month,  2:00pm - 5:00pm","
Every 2nd and 4th Monday of the month,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","536 Choa Chu Kang Street 51, #01-142, 680536",680536,1.391818474,103.7440503,Limbang,AAC & CHP,103.7440503,1.391818474
Fei Yue Active Ageing Centre (Limbang Green),"AAC Operating Hours:
Mon - Fri: 9.30am - 6.00pm

CHP Operating Hours:
Every 1st and 3rd Monday of the month,  2:00pm - 5:00pm","
Every 1st and 3rd Monday of the month,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","574 Choa Chu Kang Street 52, #01-296, 680574",680574,1.394414902,103.7451427,Limbang,AAC & CHP,103.7451427,1.394414902
PCF Sparkle Care Active Ageing Centre (Care) @ Yew Tee,"AAC Operating Hours:
Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm | Closed on Sun & Public Holiday

CHP Operating Hours:
Every 1st and 3rd Tuesday of the month,  2:30pm - 5:00pm","
Every 1st and 3rd Tuesday of the month,  2:30pm - 5:00pm","
Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm | Closed on Sun & Public Holiday

","625 Choa Chu Kang Street 62, #01-206, 680625",680625,1.398630652,103.7460341,Yew Tee,AAC & CHP,103.7460341,1.398630652
Fei Yue Active Ageing Centre (Teck Whye extension),"AAC Operating Hours:
Mon - Fri: 9.30am - 6.00pm

CHP Operating Hours:
Every 1st and 4th Thursday of the month,  2:00pm - 5:00pm","
Every 1st and 4th Thursday of the month,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","165A Teck Whye Crescent, #01-331, 681165",681165,1.382737046,103.7535171,Chua Chu Kang,AAC & CHP,103.7535171,1.382737046
Yew Tee Zone 8 Residents' Committee,"Every Monday,  9:00am - 12:00pm","Every Monday,  9:00am - 12:00pm",,"673A Choa Chu Kang Crescent #01-413, 681673",681673,1.401014168,103.7475242,Yew Tee,CHP,103.7475242,1.401014168
Fei Yue Active Ageing Centre (Brickland),"AAC Operating Hours:
Mon - Fri: 9.30am - 6.00pm

CHP Operating Hours:
Every 1st and 3rd Wednesday of the month,  9:00am - 12:00pm","
Every 1st and 3rd Wednesday of the month,  9:00am - 12:00pm","
Mon - Fri: 9.30am - 6.00pm

","809A Choa Chu Kang Avenue 1, #01-628, 681809",681809,1.375209773,103.7450182,Brickland-Tengah,AAC & CHP,103.7450182,1.375209773
Precious Active Ageing Centre (Sunshine Gardens),"AAC Operating Hours:
Mon - Fri: 8.30am - 6.00pm

CHP Operating Hours:
Every 1st and 2nd Wednesday of the month,  9:00am - 12:00pm","
Every 1st and 2nd Wednesday of the month,  9:00am - 12:00pm","
Mon - Fri: 8.30am - 6.00pm

","488B Choa Chu Kang Avenue 5, #01-145, 682488",682488,1.376973982,103.7392932,Keat Hong,AAC & CHP,103.7392932,1.376973982
Fei Yue Active Ageing Centre (Sunshine Court),"AAC Operating Hours:
Mon - Fri: 9.30am - 6.00pm

CHP Operating Hours:
Every 2nd and 4th Thursday of the month,  9:30am - 12:30pm ","
Every 2nd and 4th Thursday of the month,  9:30am - 12:30pm ","
Mon - Fri: 9.30am - 6.00pm

","476C Choa Chu Kang Avenue 5, #01-43, 683476",683476,1.377346842,103.7379129,Keat Hong,AAC & CHP,103.7379129,1.377346842
Choa Chu Kang Community Club,"Every 2nd & 3rd Tuesday of the month,  2:00pm - 5:00pm","Every 2nd & 3rd Tuesday of the month,  2:00pm - 5:00pm",,"35 Teck Whye Avenue, #03-01, 688892",688892,1.381155291,103.7519039,Chua Chu Kang,CHP,103.7519039,1.381155291
SerivceSG @ Keat Hong Community Club,"Every Tuesday,  10:00am -12:30pm","Every Tuesday,  10:00am -12:30pm",,"2 Choa Chu Kang Loop, Keat Hong CC, #01-01, 689687",689687,1.384095872,103.7449494,Keat Hong,CHP,103.7449494,1.384095872
